1602781256 0
1603204003 0
1603204134 0
1604689012 0
1606570947 147
1606573260 340
1606573646 340
1606574064 380
1606640088 379
1607010757 379
1607010777 379
1607010818 379
1607010836 379
1607010855 379
1607010874 379
1607011145 379
1607017638 392
1607111761 437
1607112462 437
1607114458 445
1607114567 464
1607114713 573
1607117632 573
1607154163 652
1607155542 648
1607155605 645
1607176087 646
1607176146 654
1607185503 662
1607186818 775
1607193913 912
1607193963 925
1607194012 921
1607199517 937
1607199542 1013
1607199648 1016
1607242537 1054
1607243363 1054
1607243383 1047
1607261164 1049
1607261209 1059
1607262356 1059
1607262390 1059
1607263001 1058
1607263765 1058
1607264516 1058
1607264589 1058
1607264611 1058
1607268561 1068
1607268671 959
1607268744 959
1607268849 1189
1607270464 1182
1607270706 1184
1607277778 1203
1607277837 1361
1607278167 1390
1607278670 1397
1607278719 1411
1607279006 1424
1607281043 1524
1607281097 1549
1607283821 1658
1607283839 1781
1607283903 1802
1607286982 1813
1607287169 1814
1607287324 1831
1607287357 1902
1607297080 1902
1607300266 2026
1607302070 2026
1607302322 2026
1607303452 2030
1607320945 2037
1607320984 2037
1607321776 2048
1607322343 2048
1607324332 2046
1607331839 2084
1607331855 2084
1607337330 2084
1607337438 2085
1607337524 2087
1607337586 2117
1607343861 2117
1607343949 2122
1607345035 2125
1607345149 2122
1607345430 2156
1607345562 2156
1607345731 2272
1607345833 2254
1607362048 2386
1607362081 2557
1607363600 2412
1607363702 2414
1607363719 2399
1607368267 2421
1607370668 2465
1607370681 2602
1607371858 2610
1607372066 2607
1607373284 2662
1607373463 2660
1607373528 2676
1607373665 2689
1607377295 2689
1607379975 2747
1607381086 2747
1607382556 2747
1607383845 2753
1607385782 2765
1607386323 2770
1607415419 2797
1607417919 2808
1607429823 2907
1607429927 2940
1607430035 2941
1607430076 2881
1607430092 2881
1607430128 2881
1607430142 2824
1607430154 2765
1607430173 2718
1607430199 2718
1607430225 2660
1607430260 2620
1607430302 2576
1607430797 2652
1607438143 2645
1607438252 2539
1607438348 2676
1607438446 2576
1607438469 2594
1607438928 2598
1607445982 3213
1607454370 4537
